"","nonmanual","ID","duration","wh_word","wh_overlap","item","spanish","gloss","cohort","Sex","age","year_tested","year_entry"
"204","Chin lift",28,0.81,"Question",NA,"job","","QUESTION YOUWORK YOU","third","M",21.9,2017,1999
"205","Chin lift",28,0.57,"Que","Que","job","","WHAT WORK WHICH HAVE WHAT","third","M",21.9,2017,1999
"206","Chin lift",28,0.68,"Adonde",NA,"town ","","YOU WHERE HOUSE ADDRESS","third","M",21.9,2017,1999
"207","Chin lift",28,0.53,"Que",NA,"wake up time","","YOU TIME WAKE-UP GET-UP TIME WHAT","third","M",21.9,2017,1999
"208","Chin lift",28,0.55,"Que","Que","mother’s birthday","","YOU MAMA WHAT NAME WHAT YOU NAME","third","M",21.9,2017,1999
"209","Chin lift",28,0.74,NA,NA,"name","","YOU YOUR NAME YOU NAME","third","M",21.9,2017,1999
"210","Chin lift",28,1.22,"Cual","Cual","favorite food","","YOU LIKE WHICH MOST FOOD WHAT","third","M",21.9,2017,1999
"211","Chin lift",28,0.58,"Que","Que","siblings","","YOU WHAT HAVE SIBLINGS","third","M",21.9,2017,1999
"212","Chin lift",28,0.92,NA,NA,"age","","HAVE YEARS YOU","third","M",21.9,2017,1999
"213","Chin lift",28,1.26,"Que","Que","transportation","","YOU WHAT WORK BUS OR WALK OR WHATEVER WHICH ","third","M",21.9,2017,1999
"214","Chin lift",28,0.6,"Que","Que","bed time","","TIME BED WHAT","third","M",21.9,2017,1999
"215","Head tilt",28,0.61,"Question","Question","job","","QUESTION YOUWORK YOU","third","M",21.9,2017,1999
"216","Head tilt",28,2.6,"Que","Que","job","","WHAT WORK WHICH HAVE WHAT","third","M",21.9,2017,1999
"217","Head tilt",28,0.79,"Que",NA,"wake up time","","YOU TIME WAKE-UP GET-UP TIME WHAT","third","M",21.9,2017,1999
"218","Head tilt",28,1.05,"Que","Que","mother’s birthday","","YOU MAMA WHAT NAME WHAT YOU NAME","third","M",21.9,2017,1999
"219","Head tilt",28,0.75,"Cuando","Cuando","birthday","","YOU BIRTHDAY WHEN BIRTHDAY","third","M",21.9,2017,1999
"220","Head tilt",28,0.97,"Cuando","Cuando","birthday","","MAMA WHEN BIRTHDAY ","third","M",21.9,2017,1999
"221","Head tilt",28,0.64,"Cual","Cual","favorite food","","YOU LIKE WHICH MOST FOOD WHAT","third","M",21.9,2017,1999
"222","Head tilt",28,1.67,"Que","Que","siblings","","YOU WHAT HAVE SIBLINGS","third","M",21.9,2017,1999
"223","Head tilt",28,0.74,NA,NA,"age","","HAVE YEARS YOU","third","M",21.9,2017,1999
"224","Head tilt",28,0.89,"Que","Que","transportation","","YOU WHAT WORK BUS OR WALK OR WHATEVER WHICH ","third","M",21.9,2017,1999
"225","Head tilt",28,1.55,"Que","Cual","transportation","","YOU WHAT WORK BUS OR WALK OR WHATEVER WHICH ","third","M",21.9,2017,1999
"226","Head tilt",28,1.643,"Que","Que","bed time","","TIME BED WHAT","third","M",21.9,2017,1999
"227","Shoulder raise",28,0.72,"Que",NA,"wake up time","","YOU TIME WAKE-UP GET-UP TIME WHAT","third","M",21.9,2017,1999
"228","Shoulder raise",28,0.58,"Cual","Que","favorite food","","YOU LIKE WHICH MOST FOOD WHAT","third","M",21.9,2017,1999
"229","Head tilt",47,1.36,NA,NA,"other","Nadie le hecho esa pregunta?","Nombody asked you that question?","hearing","F",37.9,2017,NA
"230","Head tilt",47,0.4,"Cuantos",NA,"age","cuantos años tienes?","how old are you?","hearing","F",37.9,2017,NA
"231","Head tilt",47,0.39,"Adonde","Adonde","transportation","donde vives?","where do you live?","hearing","F",37.9,2017,NA
"232","Head tilt",47,0.67,"Cual",NA,"favorite food","cual es tu comida favorita?","what is your favorite food?","hearing","F",37.9,2017,NA
"233","Head tilt",47,0.67,"Que","Que","wake up time","a que horas te levantas?","what time do you get up?","hearing","F",37.9,2017,NA
"234","Head tilt",47,0.61,"Cuando","Cuando","mother's birthday","y cuando cumpleaños de tu mama?","and when is your mom's birthday?","hearing","F",37.9,2017,NA
"235","Head tilt",47,0.58,"Cuantos","Cuantos","siblings","cuantas hermanas tienes?","how many sisters do you have?","hearing","F",37.9,2017,NA
"236","Brow raise",50,0.77,NA,NA,"age","Tu edad?","Your age?","hearing","F",43.5,2017,NA
"237","Brow raise",50,2.15,NA,NA,"siblings","Numero de hermanos que tu tienes? ","Number of siblings that you have?","hearing","F",43.5,2017,NA
"238","Brow raise",50,1.06,NA,NA,"name","El nombre de tu padre?","The name of your father?","hearing","F",43.5,2017,NA
"239","Brow raise",50,1.11,NA,NA,"name","Y el nombre de tu mama?","And the name of your mom?","hearing","F",43.5,2017,NA
"240","Brow raise",50,1.51,NA,NA,"mother's birthday","El cumpleanos de tu mama?","The birthday of your mom?","hearing","F",43.5,2017,NA
"241","Brow raise",50,1.31,NA,NA,"favorite food","Y tu comida favorita?","And your favorite food?","hearing","F",43.5,2017,NA
"242","Head tilt",50,0.45,NA,NA,"town","Donde vives? Tu domicilio? ","Where do you live? What's your address?","hearing","F",43.5,2017,NA
"243","Head tilt",50,1.01,"Que",NA,"wake up time","A que horas te levantas? De costumbre?","What time do you wake-up? Out of habit?","hearing","F",43.5,2017,NA
"244","Shoulder raise",50,1.12,"Que",NA,"wake up time","A que horas te levantas? De costumbre?","What time do you wake-up? Out of habit?","hearing","F",43.5,2017,NA
"245","Brow furrow",23,0.32,"Como","Como","age",NA,"HOW HAVE E SORRY HOW HAVE YEARS","third","F",23.8,2017,1997
"246","Brow furrow",23,0.3,"Como",NA,"age",NA,"HOW HAVE E SORRY HOW HAVE YEARS","third","F",23.8,2017,1997
"247","Brow furrow",23,0.11,"Como","Como","age",NA,"HOW HAVE E SORRY HOW HAVE YEARS","third","F",23.8,2017,1997
"248","Brow furrow",23,0.42,"Cuantos","Cuantos","siblings",NA,"HOW-MANY HAVE SIBLINGS","third","F",23.8,2017,1997
"249","Brow furrow",23,1.32,"Que","Que","wake up time",NA,"WHAT TIME GET-UP","third","F",23.8,2017,1997
"250","Brow furrow",23,0.65,"Que","Que","time",NA,"WHAT TIME NIGHT EAT","third","F",23.8,2017,1997
"251","Brow furrow",23,0.9,NA,NA,"transportation",NA,"YOU BUS CAR WHATEVER YOU TAKE-OFF GO UNIVERSITY","third","F",23.8,2017,1997
"252","Nose wrinkle",23,0.32,"Como","Como","age",NA,"HOW HAVE E SORRY HOW HAVE YEARS","third","F",23.8,2017,1997
"253","Nose wrinkle",23,0.31,"Como","Como","age",NA,"HOW HAVE E SORRY HOW HAVE YEARS","third","F",23.8,2017,1997
"254","Brow raise",23,0.524,NA,NA,"transportation",NA,"YOU GO CAR HOUSE OR WORK","third","F",23.8,2017,1997
"255","Brow raise",23,0.95,"Cuando","Cuando","mother's birthday",NA,"WHEN BIRTHDAY DE YOU MAMA","third","F",23.8,2017,1997
"256","Brow raise",23,0.95,NA,NA,"transportation",NA,"CAR GO WORK","third","F",23.8,2017,1997
"257","Brow raise",23,1.53,NA,NA,"transportation",NA,"YOU BUS CAR WHATEVER YOU TAKE-OFF GO UNIVERSITY","third","F",23.8,2017,1997
"258","Brow raise",23,2.51,NA,NA,"transportation",NA,"YOU BUS CAR WHATEVER YOU TAKE-OFF GO UNIVERSITY","third","F",23.8,2017,1997
"259","Chin lift",23,0.43,NA,NA,"transportation",NA,"YOU GO CAR HOUSE OR WORK","third","F",23.8,2017,1997
"260","Chin lift",23,0.911,"Que",NA,"time",NA,"WHAT TIME NIGHT EAT","third","F",23.8,2017,1997
"261","Head tilt",23,0.33,"Que",NA,"town",NA,"WHAT STAY HOUSE","third","F",23.8,2017,1997
"262","Head tilt",23,0.61,"Cuando",NA,"birthday",NA,"WHEN BIRTHDAY","third","F",23.8,2017,1997
"263","Head tilt",23,0.58,NA,NA,"transportation",NA,"YOU GO CAR HOUSE OR WORK","third","F",23.8,2017,1997
"264","Head tilt",23,1.86,"Cuantos","Cuantos","siblings",NA,"HOW-MANY HAVE SIBLINGS","third","F",23.8,2017,1997
"265","Head tilt",23,0.66,"Que",NA,"wake up time",NA,"WHAT TIME GET-UP","third","F",23.8,2017,1997
"266","Head tilt",23,0.91,"Que","Que","time",NA,"WHAT TIME NIGHT EAT","third","F",23.8,2017,1997
"267","Head tilt",23,1.82,NA,NA,"teacher",NA,"YOUR NAME PROFESSOR","third","F",23.8,2017,1997
"268","Head tilt",23,1.13,"Cuando",NA,"mother's birthday",NA,"WHEN BIRTHDAY DE YOU MAMA","third","F",23.8,2017,1997
"269","Head tilt",23,1.39,NA,NA,"transportation",NA,"CAR GO WORK","third","F",23.8,2017,1997
"270","Head tilt",23,1.56,NA,NA,"transportation",NA,"YOU BUS CAR WHATEVER YOU TAKE-OFF GO UNIVERSITY","third","F",23.8,2017,1997
"271","Brow furrow",6,0.8,NA,NA,"birthday",NA,"BIRTHDAY","second","F",29.8,2011,1987
"272","Brow furrow",6,0.69,NA,NA,"other",NA,"XXX SCHOOL OR WORK","second","F",29.8,2011,1987
"273","Brow furrow",6,1.28,NA,NA,"siblings",NA,"NUMBER SIBLINGS","second","F",29.8,2011,1987
"274","Brow furrow",6,0.92,NA,NA,"wake up time",NA,"HOUR GET-UP HOUR GET-UP","second","F",29.8,2011,1987
"275","Brow furrow",6,0.79,NA,NA,"wake up time",NA,"HOUR GET-UP HOUR GET-UP","second","F",29.8,2011,1987
"276","Brow furrow",6,0.82,NA,NA,"transportation",NA,"BUS NEAR HOUSE DONDE STAY NEAR WORK","second","F",29.8,2011,1987
"277","Brow furrow",6,0.93,NA,NA,"transportation",NA,"BUS NEAR HOUSE DONDE STAY NEAR WORK","second","F",29.8,2011,1987
"278","Brow furrow",6,0.26,NA,NA,"transportation",NA,"BUS NEAR HOUSE DONDE STAY NEAR WORK","second","F",29.8,2011,1987
"279","Brow furrow",6,5.01,NA,NA,"favorite food",NA,"HOUR POINT HOUR HUNGRY C-E EAT","second","F",29.8,2011,1987
"280","Brow furrow",6,2.1,NA,NA,"teacher",NA,"NAME TEACHER","second","F",29.8,2011,1987
"281","Nose wrinkle",6,1.52,NA,NA,"age",NA,"YEARS","second","F",29.8,2011,1987
"282","Nose wrinkle",6,1.48,"Adonde","Adonde","town",NA,"WHERE HOUSE","second","F",29.8,2011,1987
"283","Nose wrinkle",6,0.69,NA,NA,"other",NA,"XXX SCHOOL OR WORK","second","F",29.8,2011,1987
"284","Nose wrinkle",6,1.28,NA,NA,"siblings",NA,"NUMBER SIBLINGS","second","F",29.8,2011,1987
"285","Nose wrinkle",6,0.35,NA,NA,"wake up time",NA,"HOUR GET-UP HOUR GET-UP","second","F",29.8,2011,1987
"286","Nose wrinkle",6,0.92,NA,NA,"wake up time",NA,"HOUR GET-UP HOUR GET-UP","second","F",29.8,2011,1987
"287","Nose wrinkle",6,0.79,NA,NA,"wake up time",NA,"HOUR GET-UP HOUR GET-UP","second","F",29.8,2011,1987
"288","Nose wrinkle",6,0.93,NA,NA,"transportation",NA,"BUS NEAR HOUSE DONDE STAY NEAR WORK","second","F",29.8,2011,1987
"289","Nose wrinkle",6,5.01,NA,NA,"favorite food",NA,"HOUR POINT HOUR HUNGRY C-E EAT","second","F",29.8,2011,1987
"290","Nose wrinkle",6,2.1,NA,NA,"teacher",NA,"NAME TEACHER","second","F",29.8,2011,1987
"291","Brow raise",6,0.9,NA,NA,"other",NA,"XXX SCHOOL OR WORK","second","F",29.8,2011,1987
"292","Brow raise",6,0.43,NA,NA,"transportation",NA,"BUS NEAR HOUSE DONDE STAY NEAR WORK","second","F",29.8,2011,1987
"293","Brow raise",6,1.13,NA,NA,"transportation",NA,"BUS NEAR HOUSE DONDE STAY NEAR WORK","second","F",29.8,2011,1987
"294","Brow raise",6,1.16,NA,NA,"favorite food",NA,"HOUR POINT HOUR HUNGRY C-E EAT","second","F",29.8,2011,1987
"295","Brow raise",6,0.68,NA,NA,"birthday",NA,"YOU BIRTHDAY MAMA","second","F",29.8,2011,1987
"296","Chin lift",6,0.5,NA,NA,"age",NA,"YEARS","second","F",29.8,2011,1987
"297","Chin lift",6,0.8,"Adonde","Adonde","town",NA,"WHERE HOUSE","second","F",29.8,2011,1987
"298","Chin lift",6,0.64,NA,NA,"other",NA,"XXX SCHOOL OR WORK","second","F",29.8,2011,1987
"299","Chin lift",6,1.66,NA,NA,"transportation",NA,"BUS NEAR HOUSE DONDE STAY NEAR WORK","second","F",29.8,2011,1987
"300","Chin lift",6,1.13,NA,NA,"transportation",NA,"BUS NEAR HOUSE DONDE STAY NEAR WORK","second","F",29.8,2011,1987
"301","Chin lift",6,2.85,NA,NA,"favorite food",NA,"HOUR POINT HOUR HUNGRY C-E EAT","second","F",29.8,2011,1987
"302","Chin lift",6,1.23,NA,NA,"job",NA,"XXX WORK","second","F",29.8,2011,1987
"303","Head tilt",6,1.5,"Adonde","Adonde","town",NA,"WHERE HOUSE","second","F",29.8,2011,1987
"304","Head tilt",6,2.18,NA,NA,"birthday",NA,"BIRTHDAY","second","F",29.8,2011,1987
"305","Head tilt",6,2.06,NA,NA,"siblings",NA,"NUMBER SIBLINGS","second","F",29.8,2011,1987
"306","Head tilt",6,0.92,NA,NA,"wake up time",NA,"HOUR GET-UP HOUR GET-UP","second","F",29.8,2011,1987
"307","Head tilt",6,1.16,NA,NA,"favorite food",NA,"HOUR POINT HOUR HUNGRY C-E EAT","second","F",29.8,2011,1987
"308","Brow furrow",7,1.7,NA,NA,"favorite food",NA,"FOOD PLEASE","first","F",31.8,2008,1983
"309","Brow furrow",7,4.31,NA,NA,"time",NA,"TIME OF D E S D E R… (can't make out rest of fs)","first","F",31.8,2008,1983
"310","Brow raise",7,1.16,NA,NA,"name",NA,"NAME NAME ","first","F",31.8,2008,1983
"311","Brow raise",7,0.5,NA,NA,"job",NA,"YOU WORK","first","F",31.8,2008,1983
"312","Brow raise",7,0.4,NA,NA,"mother's birthday",NA,"MOTHER (inc) BIRTHDAY YOU OF MOTHER  YOU","first","F",31.8,2008,1983
"313","Brow raise",7,0.48,NA,NA,"time",NA,"TIME OF D E S D E R… (can't make out rest of fs)","first","F",31.8,2008,1983
"314","Chin lift",7,1.25,NA,NA,"age",NA,"YOU YEAR","first","F",31.8,2008,1983
"315","Chin lift",7,0.46,"Que","Que","birthday",NA,"BIRTHDAY WHAT","first","F",31.8,2008,1983
"316","Chin lift",7,1.31,NA,NA,"siblings",NA,"NUMBER OF SIBLINGS","first","F",31.8,2008,1983
"317","Chin lift",7,0.66,NA,NA,"siblings",NA,"NUMBER OF SIBLINGS","first","F",31.8,2008,1983
"318","Chin lift",7,0.66,NA,NA,"job",NA,"YOU WORK","first","F",31.8,2008,1983
"319","Chin lift",7,0.57,NA,NA,"supermarket",NA,"SUPERMARKET","first","F",31.8,2008,1983
"320","Chin lift",7,0.75,NA,NA,"supermarket",NA,"SUPERMARKET","first","F",31.8,2008,1983
"321","Chin lift",7,0.94,"Que",NA,"transportation",NA,"(looks like question word) YOU BUS SCHOOL WHAT","first","F",31.8,2008,1983
"322","Chin lift",7,1.83,NA,NA,"time",NA,"TIME OF D E S D E R… (can't make out rest of fs)","first","F",31.8,2008,1983
"323","Head tilt",7,1.32,NA,NA,"age",NA,"YOU YEAR","first","F",31.8,2008,1983
"324","Head tilt",7,1.16,"Que","Que","birthday",NA,"BIRTHDAY WHAT","first","F",31.8,2008,1983
"325","Head tilt",7,1.52,NA,NA,"favorite food",NA,"FOOD PLEASE","first","F",31.8,2008,1983
"326","Head tilt",7,0.7,"Que",NA,"town",NA,"YOU HOUSE WHAT","first","F",31.8,2008,1983
"327","Head tilt",7,0.57,NA,NA,"mother's birthday",NA,"MOTHER (inc) BIRTHDAY YOU OF MOTHER  YOU","first","F",31.8,2008,1983
"328","Head tilt",7,1.03,NA,NA,"time",NA,"TIME OF C___?","first","F",31.8,2008,1983
"329","Brow furrow",8,0.9,"Que","Cuando","birthday",NA," C U M P L E A N O S (fs) YOU BIRTHDAY (inc) HAPPY BIRTHDAY HAPPY… WHAT WHEN WHAT","first","F",40.1,2008,1974
"330","Brow furrow",8,1.25,"Que","Que","siblings",NA,"SIBLINGS WHAT… SIBLINGS HOW MANY","first","F",40.1,2008,1974
"331","Brow furrow",8,0.75,"Que",NA,"other",NA,"BUY/MONEY WHAT BUY/MONEY WHAT ","first","F",40.1,2008,1974
"332","Brow furrow",8,0.42,"Que",NA,"favorite food",NA,"FOOD PLEASE FOOD WHAT PLEASE WHAT ","first","F",40.1,2008,1974
"333","Brow furrow",8,0.09,"Que",NA,"favorite food",NA,"FOOD PLEASE FOOD WHAT PLEASE WHAT ","first","F",40.1,2008,1974
"334","Brow furrow",8,0.6,"Que","Que","friend",NA,"FRIEND (inc) WHAT FRIEND WHAT","first","F",40.1,2008,1974
"335","Nose wrinkle",8,0.54,"Que","Que","age",NA,"T U (fs) E D A D (fs) WHAT","first","F",40.1,2008,1974
"336","Nose wrinkle",8,0.24,"Que","Que","birthday",NA," C U M P L E A N O S (fs) YOU BIRTHDAY (inc) HAPPY BIRTHDAY HAPPY… WHAT WHEN WHAT","first","F",40.1,2008,1974
"337","Nose wrinkle",8,1.19,"Que","Cuando","birthday",NA," C U M P L E A N O S (fs) YOU BIRTHDAY (inc) HAPPY BIRTHDAY HAPPY… WHAT WHEN WHAT","first","F",40.1,2008,1974
"338","Nose wrinkle",8,1.44,"Que","Que","siblings",NA,"SIBLINGS WHAT… SIBLINGS HOW MANY","first","F",40.1,2008,1974
"339","Nose wrinkle",8,0.76,"Que","Cuantos","siblings",NA,"SIBLINGS WHAT… SIBLINGS HOW MANY","first","F",40.1,2008,1974
"340","Nose wrinkle",8,0.22,"Que","Que","job",NA,"WORK WHAT","first","F",40.1,2008,1974
"341","Nose wrinkle",8,0.4,"Que",NA,"other",NA,"BUY/MONEY WHAT BUY/MONEY WHAT ","first","F",40.1,2008,1974
"342","Nose wrinkle",8,0.86,"Que","Que","other",NA,"BUY/MONEY WHAT BUY/MONEY WHAT ","first","F",40.1,2008,1974
"343","Nose wrinkle",8,0.14,"Que",NA,"other",NA,"BUY/MONEY WHAT BUY/MONEY WHAT ","first","F",40.1,2008,1974
"344","Nose wrinkle",8,0.26,"Que",NA,"other",NA,"BUY/MONEY WHAT BUY/MONEY WHAT ","first","F",40.1,2008,1974
"345","Nose wrinkle",8,0.06,"Que","Que","other",NA,"BUY/MONEY WHAT BUY/MONEY WHAT ","first","F",40.1,2008,1974
"346","Nose wrinkle",8,0.18,"Que","Que","friend",NA,"FRIEND (inc) WHAT FRIEND WHAT","first","F",40.1,2008,1974
"347","Brow raise",8,0.56,NA,NA,"age",NA,"YEAR YOU YEAR","first","F",40.1,2008,1974
"348","Brow raise",8,0.53,"Que",NA,"birthday",NA," C U M P L E A N O S (fs) YOU BIRTHDAY (inc) HAPPY BIRTHDAY HAPPY… WHAT WHEN WHAT","first","F",40.1,2008,1974
"349","Brow raise",8,0.6,"Que","Que","birthday",NA," C U M P L E A N O S (fs) YOU BIRTHDAY (inc) HAPPY BIRTHDAY HAPPY… WHAT WHEN WHAT","first","F",40.1,2008,1974
"350","Brow raise",8,0.62,"Que","Que","siblings",NA,"SIBLINGS WHAT… SIBLINGS HOW MANY","first","F",40.1,2008,1974
"351","Brow raise",8,0.29,"Que",NA,"favorite food",NA,"FOOD PLEASE FOOD WHAT PLEASE WHAT ","first","F",40.1,2008,1974
"352","Brow raise",8,0.42,"WHAT",NA,"town",NA,"YOU HOUSE WHAT HOUSE","first","F",40.1,2008,1974
"353","Chin lift",8,0.48,NA,NA,NA,NA,NA,"first","F",40.1,2008,1974
"354","Chin lift",8,0.41,"Que","Que","age",NA,"T U (fs) E D A D (fs) WHAT","first","F",40.1,2008,1974
"355","Chin lift",8,0.45,NA,NA,"age",NA,"YEAR YOU YEAR","first","F",40.1,2008,1974
"356","Chin lift",8,0.12,"Que","Que","other",NA,"BUY/MONEY WHAT BUY/MONEY WHAT ","first","F",40.1,2008,1974
"357","Chin lift",8,0.61,"WHAT",NA,"town",NA,"YOU HOUSE WHAT HOUSE","first","F",40.1,2008,1974
"358","Head tilt",8,0.93,"Que",NA,"other",NA,"BUY/MONEY WHAT BUY/MONEY WHAT ","first","F",40.1,2008,1974
"359","Head tilt",8,0.62,"WHAT",NA,"town",NA,"YOU HOUSE WHAT HOUSE","first","F",40.1,2008,1974
"360","Head tilt",8,0.56,"Que",NA,"friend",NA,"FRIEND (inc) WHAT FRIEND WHAT","first","F",40.1,2008,1974
"361","Brow furrow",39,1.97,"Que","Que","age","Amor, que edad tienes?","Love, what age are you","hearing","M",24.7,2010,NA
"362","Brow furrow",39,1.45,"Cual","Cual","town","Cual  el la direccion de tu casa?","What is the direction  of your house? ","hearing","M",24.7,2010,NA
"363","Brow furrow",39,1.95,"Cual","Cual","town","Cual es la direccion de tu casa?","What is the direction of your house","hearing","M",24.7,2010,NA
"364","Brow furrow",39,2.44,NA,NA,"birthday","Y la fecha de tu cumpleanos?","And the date of your birthday?","hearing","M",24.7,2010,NA
"365","Brow furrow",39,2.91,"Que","Que","transportation","Que transporte vas a tu trabajo","What transportation do you use for work?","hearing","M",24.7,2010,NA
"366","Brow furrow",39,0.58,NA,NA,"transportation","Tu mama te llevaba? Tu mami te llevaba","Your mom took you? Your mommy would take you?","hearing","M",24.7,2010,NA
"367","Brow furrow",39,1.49,"Cuantos","Cuantos","siblings","Cuanto hermanas tienes?","How many sibling do you have?","hearing","M",24.7,2010,NA
"368","Brow furrow",39,1.14,"Que","Que","wake up time","A que hora te llevantas normalmente?","At what time do you normally get up?","hearing","M",24.7,2010,NA
"369","Brow furrow",39,0.73,"Que","Que","time","A que horas cenan normalmente?","What time do you normally eat dinner?","hearing","M",24.7,2010,NA
"370","Brow furrow",39,1.41,NA,NA,"teacher","Te recuerdase el nombre de tu maestra? De secundaria o universidad?","Do you remember the name of your teacher? From middle school or univeristy?","hearing","M",24.7,2010,NA
"371","Brow furrow",39,0.35,"Que","Que","transportation","Que transportable que te vas en caro or xxx?","Transportational that you go en car or xxx?","hearing","M",24.7,2010,NA
"372","Brow furrow",39,2.607,NA,NA,"transportation","Caminabas a la universidad?","You walked to university?","hearing","M",24.7,2010,NA
"373","Nose wrinkle",39,0.54,NA,NA,"teacher","Te recuerdase el nombre de tu maestra? De secundaria o universidad?","Do you remember the name of your teacher? From middle school or univeristy?","hearing","M",24.7,2010,NA
"374","Brow raise",39,1.28,"Cuando","Cuando","transportation","Cuando vas a la escuela en que transporte","When you go to school, what transportation?","hearing","M",24.7,2010,NA
"375","Brow raise",39,1.07,"Cuando","Cuando","transportation","Cuando vas en la escuela","When you go to school","hearing","M",24.7,2010,NA
"376","Brow raise",39,0.74,NA,NA,"teacher","Ninguno?","Neither?","hearing","M",24.7,2010,NA
"377","Brow raise",39,1.24,NA,NA,"other","xxx?","xxx?","hearing","M",24.7,2010,NA
"378","Chin lift",39,0.77,NA,NA,"transportation","Tu mama te llevaba? Tu mami te llevaba","Your mom took you? Your mommy would take you?","hearing","M",24.7,2010,NA
"379","Chin lift",39,0.55,"Que",NA,"transportation","Que transportable que te vas en caro or xxx?","Transportational that you go en car or xxx?","hearing","M",24.7,2010,NA
"380","Head tilt",39,0.9,"Que","Que","age","Amor, que edad tienes?","Love, what age are you","hearing","M",24.7,2010,NA
"381","Head tilt",39,1.22,"Cual","Cual","town","Cual  el la direccion de tu casa?","What is the direction  of your house? ","hearing","M",24.7,2010,NA
"382","Head tilt",39,1.72,"Cual","Cual","town","Cual es la direccion de tu casa?","What is the direction of your house","hearing","M",24.7,2010,NA
"383","Head tilt",39,2.68,"Cuando","Cuando","transportation","Cuando vas a la escuela en que transporte","When you go to school, what transportation?","hearing","M",24.7,2010,NA
"384","Head tilt",39,0.85,NA,NA,"transportation","No fue en caballo?","It wasn't by horse?","hearing","M",24.7,2010,NA
"385","Head tilt",39,1.45,"Cuantos","Cuantos","siblings","Cuanto hermanas tienes?","How many sibling do you have?","hearing","M",24.7,2010,NA
"386","Head tilt",39,0.89,"Cual",NA,"transportation","Cuales son los buses que pasan cerca de la case de tu esposo?","What are the buses that pass by your husband's house? ","hearing","M",24.7,2010,NA
"387","Head tilt",39,1.09,NA,NA,"other","Por aqui xxx?","Around here xxx?","hearing","M",24.7,2010,NA
"388","Head tilt",39,1.41,NA,NA,"teacher","Te recuerdase el nombre de tu maestra? De secundaria o universidad?","Do you remember the name of your teacher? From middle school or univeristy?","hearing","M",24.7,2010,NA
"389","Head tilt",39,1.55,NA,NA,"transportation","Caminabas a la universidad?","You walked to university?","hearing","M",24.7,2010,NA
"390","Shoulder raise",39,0.65,NA,NA,"teacher","Te recuerdase el nombre de tu maestra? De secundaria o universidad?","Do you remember the name of your teacher? From middle school or univeristy?","hearing","M",24.7,2010,NA
"391","Brow raise",38,1.02,"Que","Que","age","Que edad tu tienes?","How old are you?","hearing","F",28.7,2010,NA
"392","Brow raise",38,0.96,NA,NA,"town","La direccion de tu casa?","The direction of your house?","hearing","F",28.7,2010,NA
"393","Brow raise",38,1.57,"Que","Que","wake up time","A que hora te levantas? A que hora te levantas?","What time do you get up? What time do you get up?","hearing","F",28.7,2010,NA
"394","Chin lift",38,0.77,"Cual","Cual","name","Cual es su nombre?","What is your name?","hearing","F",28.7,2010,NA
"395","Chin lift",38,0.93,"Cuantos",NA,"siblings","Cuantos hermanos tienes?","How many siblings do you have?","hearing","F",28.7,2010,NA
"396","Chin lift",38,1.57,"Que","Que","wake up time","A que hora te levantas? A que hora te levantas?","What time do you get up? What time do you get up?","hearing","F",28.7,2010,NA
"397","Chin lift",38,1,"Cual","Cual","transportation","Cual es la routa que es mas cerca a tu casa?","Which route is closest to your house?","hearing","F",28.7,2010,NA
"398","Chin lift",38,1.57,"Cual",NA,"transportation","Cual es la routa que es mas cerca a tu casa?","Which route is closest to your house?","hearing","F",28.7,2010,NA
"399","Chin lift",38,1.29,"Cual",NA,"teacher","Cual es el nombre de tu maestra?","What is the name of your teacher?","hearing","F",28.7,2010,NA
"400","Chin lift",38,1.93,"Cuando","Cuando","mother's birthday","Cuando cumpleanos tu mama?","When is your mom's birthday?","hearing","F",28.7,2010,NA
"401","Chin lift",38,0.87,"Que","Que","transportation","Cuando vas a trabajo, en que te transportas? En que te transportas?","When you go to work, what do you transport in? In what do you transport in?","hearing","F",28.7,2010,NA
"402","Chin lift",38,1.3,"Que","Que","transportation","Cuando vas a la universidad en que te transportas?","When you go to university, what do you transport in?","hearing","F",28.7,2010,NA
"403","Head tilt",38,0.6,"Cual",NA,"name","Cual es su nombre?","What is your name?","hearing","F",28.7,2010,NA
"404","Head tilt",38,1.06,NA,NA,"town","La direccion de tu casa?","The direction of your house?","hearing","F",28.7,2010,NA
"405","Head tilt",38,1.7,"Cuando","Cuando","birthday","Cuando cumples anos?","When is your birthday?","hearing","F",28.7,2010,NA
"406","Head tilt",38,1.93,"Cuando","Cuando","mother's birthday","Cuando cumpleanos tu mama?","When is your mom's birthday?","hearing","F",28.7,2010,NA
"407","Head tilt",38,1.4,"Que","Que","transportation","Cuando vas a trabajo, en que te transportas? En que te transportas?","When you go to work, what do you transport in? In what do you transport in?","hearing","F",28.7,2010,NA
"408","Shoulder raise",38,0.98,"Que",NA,"time","A que hora cenas?","What time do you eat?","hearing","F",28.7,2010,NA
"409","Chin lift",40,0.75,"Cual","Cual","time","Cual es tu hora de levantarte?","At what time do you get up? ","hearing","M",22.6,2010,NA
"410","Chin lift",40,1.08,"Como","Como","other","Como estas?","How are you?","hearing","M",22.6,2010,NA
"411","Head tilt",40,0.93,"Cual",NA,"time","Cual es tu hora de levantarte?","At what time do you get up? ","hearing","M",22.6,2010,NA
"412","Head tilt",40,1.28,"Cual",NA,"transportation","Cual es la routa mas cerca a tu casa?","What is the route closest to your house?","hearing","M",22.6,2010,NA
